,index,nneg,npos,ntot
297,CHEMBL1974,218,895,1113
298,CHEMBL1977,196,130,326
299,CHEMBL1978,433,1239,1672
300,CHEMBL1980,261,119,380
301,CHEMBL1981,493,446,939
302,CHEMBL1982,2,17,19
303,CHEMBL1983,128,1167,1295
304,CHEMBL1985,101,658,759
305,CHEMBL1987,76,81,157
306,CHEMBL1989,0,20,20
307,CHEMBL1991,297,794,1091
308,CHEMBL1993,63,21,84
309,CHEMBL1994,128,445,573
310,CHEMBL1995,174,194,368
311,CHEMBL1997,54,219,273
312,CHEMBL2000,115,90,205
313,CHEMBL2001,92,731,823
314,CHEMBL2002,200,570,770
315,CHEMBL2003,115,159,274
316,CHEMBL2004,14,107,121
317,CHEMBL2007,99,252,351
318,CHEMBL2008,86,181,267
319,CHEMBL2009,16,55,71
320,CHEMBL2010624,0,11,11
321,CHEMBL2010631,2,47,49
322,CHEMBL2010635,2,42,44
323,CHEMBL2010636,15,26,41
324,CHEMBL2014,196,1157,1353
325,CHEMBL2015,24,35,59
326,CHEMBL2016,44,171,215
327,CHEMBL202,249,662,911
328,CHEMBL2021745,0,40,40
329,CHEMBL2021750,1,13,14
330,CHEMBL2023,9,14,23
331,CHEMBL2026,124,122,246
332,CHEMBL2027,24,67,91
333,CHEMBL2028,81,203,284
334,CHEMBL2029196,0,40,40
335,CHEMBL2029198,29,28,57
336,CHEMBL203,1639,3130,4769
337,CHEMBL2034,294,1510,1804
338,CHEMBL2034803,30,10,40
339,CHEMBL2034805,18,49,67
340,CHEMBL2034807,10,13,23
341,CHEMBL2035,233,422,655
342,CHEMBL2039,639,1116,1755
343,CHEMBL204,2027,3759,5786
344,CHEMBL2041,144,238,382
345,CHEMBL2046259,4,35,39
346,CHEMBL2046264,3,96,99
347,CHEMBL2046267,18,11,29
348,CHEMBL2047,78,383,461
349,CHEMBL2049,18,367,385
350,CHEMBL205,589,3712,4301
351,CHEMBL2051,96,217,313
352,CHEMBL2052028,14,24,38
353,CHEMBL2052031,66,27,93
354,CHEMBL2052038,36,38,74
355,CHEMBL2052039,33,38,71
356,CHEMBL2055,109,167,276
357,CHEMBL2056,235,657,892
358,CHEMBL206,397,1366,1763
359,CHEMBL2061,70,330,400
360,CHEMBL2063,11,56,67
361,CHEMBL2064,2,10,12
362,CHEMBL2065,66,99,165
363,CHEMBL2068,114,48,162
364,CHEMBL2069,210,587,797
365,CHEMBL2069161,4,43,47
366,CHEMBL2072,70,32,102
367,CHEMBL2073,65,90,155
368,CHEMBL2074,47,68,115
369,CHEMBL2079848,0,40,40
370,CHEMBL208,283,1032,1315
371,CHEMBL2083,53,93,146
372,CHEMBL2085,102,99,201
373,CHEMBL2088,25,40,65
374,CHEMBL209,535,873,1408
375,CHEMBL2093863,369,882,1251
376,CHEMBL2093864,237,1121,1358
377,CHEMBL2093865,180,379,559
378,CHEMBL2093866,52,71,123
379,CHEMBL2093867,201,115,316
380,CHEMBL2093868,63,354,417
381,CHEMBL2093869,375,1038,1413
382,CHEMBL2093870,172,1151,1323
383,CHEMBL2094108,283,1327,1610
384,CHEMBL2094109,65,173,238
385,CHEMBL2094111,59,41,100
386,CHEMBL2094112,100,404,504
387,CHEMBL2094114,2,30,32
388,CHEMBL2094115,96,279,375
389,CHEMBL2094116,167,750,917
390,CHEMBL2094117,296,768,1064
391,CHEMBL2094118,51,179,230
392,CHEMBL2094120,71,601,672
393,CHEMBL2094121,81,535,616
394,CHEMBL2094122,64,603,667
395,CHEMBL2094123,10,77,87
396,CHEMBL2094125,462,448,910
397,CHEMBL2094126,209,592,801
398,CHEMBL2094127,208,385,593
399,CHEMBL2094128,391,775,1166
400,CHEMBL2094129,105,317,422
401,CHEMBL2094130,72,483,555
402,CHEMBL2094134,101,75,176
403,CHEMBL2094135,15,144,159
404,CHEMBL2094138,362,148,510
405,CHEMBL2094139,5,22,27
406,CHEMBL2094250,60,837,897
407,CHEMBL2094251,64,305,369
408,CHEMBL2094253,58,52,110
409,CHEMBL2094254,16,216,232
410,CHEMBL2094255,132,101,233
411,CHEMBL2094256,14,225,239
412,CHEMBL2094257,67,114,181
413,CHEMBL2094266,81,124,205
414,CHEMBL2094267,44,204,248
415,CHEMBL2094268,8,145,153
416,CHEMBL2095,2,15,17
417,CHEMBL2095150,241,148,389
418,CHEMBL2095154,26,266,292
419,CHEMBL2095157,112,199,311
420,CHEMBL2095158,60,112,172
421,CHEMBL2095159,103,236,339
422,CHEMBL2095160,36,236,272
423,CHEMBL2095164,157,292,449
424,CHEMBL2095165,31,73,104
425,CHEMBL2095166,88,89,177
426,CHEMBL2095167,9,58,67
427,CHEMBL2095171,68,77,145
428,CHEMBL2095172,27,50,77
429,CHEMBL2095173,71,123,194
430,CHEMBL2095177,58,166,224
431,CHEMBL2095178,43,397,440
432,CHEMBL2095179,1,10,11
433,CHEMBL2095180,2,37,39
434,CHEMBL2095181,12,69,81
435,CHEMBL2095184,24,379,403
436,CHEMBL2095185,104,46,150
437,CHEMBL2095188,162,263,425
438,CHEMBL2095189,117,225,342
439,CHEMBL2095190,110,93,203
440,CHEMBL2095192,12,22,34
441,CHEMBL2095193,36,215,251
442,CHEMBL2095194,29,292,321
443,CHEMBL2095196,29,32,61
444,CHEMBL2095197,36,192,228
445,CHEMBL2095198,7,14,21
446,CHEMBL2095199,2,19,21
447,CHEMBL2095200,58,124,182
448,CHEMBL2095204,235,378,613
449,CHEMBL2095205,31,61,92
450,CHEMBL2095216,23,113,136
451,CHEMBL2095217,46,49,95
452,CHEMBL2095221,61,143,204
453,CHEMBL2095226,53,134,187
454,CHEMBL2095228,103,230,333
455,CHEMBL2095229,6,46,52
456,CHEMBL2095231,97,103,200
457,CHEMBL2095942,14,141,155
458,CHEMBL2095943,3,53,56
459,CHEMBL2096,13,21,34
460,CHEMBL2096661,116,285,401
461,CHEMBL2096663,29,42,71
462,CHEMBL2096664,20,227,247
463,CHEMBL2096665,31,87,118
464,CHEMBL2096666,16,66,82
465,CHEMBL2096671,26,141,167
466,CHEMBL2096673,5,10,15
467,CHEMBL2096674,60,68,128
468,CHEMBL2096675,24,170,194
469,CHEMBL2096677,100,21,121
470,CHEMBL2096680,41,43,84
471,CHEMBL2096682,77,67,144
472,CHEMBL2096905,7,35,42
473,CHEMBL2096911,68,66,134
474,CHEMBL2096912,6,10,16
475,CHEMBL2096970,24,36,60
476,CHEMBL2096971,0,19,19
477,CHEMBL2096973,53,41,94
478,CHEMBL2096975,27,21,48
479,CHEMBL2096979,5,60,65
480,CHEMBL2096980,88,91,179
481,CHEMBL2096981,3,20,23
482,CHEMBL2096984,30,22,52
483,CHEMBL2096985,0,38,38
484,CHEMBL2096986,45,59,104
485,CHEMBL2096987,51,124,175
486,CHEMBL2096989,19,89,108
487,CHEMBL2097163,1,34,35
488,CHEMBL2097164,46,41,87
489,CHEMBL2097166,95,84,179
490,CHEMBL2097167,10,14,24
491,CHEMBL2097168,22,22,44
492,CHEMBL2099,21,42,63
493,CHEMBL210,202,820,1022
494,CHEMBL2107,73,146,219
495,CHEMBL2107838,3,59,62
496,CHEMBL2109,67,18,85
497,CHEMBL2109233,1,13,14
498,CHEMBL2109234,14,36,50
499,CHEMBL211,268,1093,1361
500,CHEMBL2110,9,14,23
501,CHEMBL2111288,28,107,135
502,CHEMBL2111322,38,23,61
503,CHEMBL2111327,1,21,22
504,CHEMBL2111328,3,15,18
505,CHEMBL2111333,13,15,28
506,CHEMBL2111339,1,23,24
507,CHEMBL2111343,0,20,20
508,CHEMBL2111344,3,19,22
509,CHEMBL2111351,8,18,26
510,CHEMBL2111353,18,11,29
511,CHEMBL2111354,19,12,31
512,CHEMBL2111357,16,71,87
513,CHEMBL2111358,23,10,33
514,CHEMBL2111360,3,91,94
515,CHEMBL2111363,6,65,71
516,CHEMBL2111366,8,39,47
517,CHEMBL2111367,17,124,141
518,CHEMBL2111369,24,17,41
519,CHEMBL2111370,4,13,17
520,CHEMBL2111372,93,30,123
521,CHEMBL2111373,5,21,26
522,CHEMBL2111374,1,26,27
523,CHEMBL2111377,31,90,121
524,CHEMBL2111381,2,35,37
525,CHEMBL2111385,8,51,59
526,CHEMBL2111386,7,11,18
527,CHEMBL2111387,5,32,37
528,CHEMBL2111389,44,216,260
529,CHEMBL2111390,1,29,30
530,CHEMBL2111391,7,22,29
531,CHEMBL2111393,4,55,59
532,CHEMBL2111407,1,39,40
533,CHEMBL2111413,28,47,75
534,CHEMBL2111414,58,78,136
535,CHEMBL2111416,13,117,130
536,CHEMBL2111420,0,11,11
537,CHEMBL2111429,22,143,165
538,CHEMBL2111431,24,48,72
539,CHEMBL2111432,0,53,53
540,CHEMBL2111448,5,11,16
541,CHEMBL2111450,21,10,31
542,CHEMBL2111456,2,28,30
543,CHEMBL2111457,21,10,31
544,CHEMBL2111459,5,70,75
545,CHEMBL2111461,1,17,18
546,CHEMBL2111463,15,31,46
547,CHEMBL2111473,0,35,35
548,CHEMBL2111474,47,33,80
549,CHEMBL2113,22,29,51
550,CHEMBL2114,0,14,14
551,CHEMBL2116,65,17,82
552,CHEMBL2118,16,18,34
553,CHEMBL212,16,13,29
554,CHEMBL2121,0,10,10
555,CHEMBL2123,1,29,30
556,CHEMBL2125,3,22,25
557,CHEMBL2128,14,27,41
558,CHEMBL213,263,733,996
559,CHEMBL2131,33,15,48
560,CHEMBL214,415,3052,3467
561,CHEMBL2146302,16,11,27
562,CHEMBL2147,214,762,976
563,CHEMBL2148,270,601,871
564,CHEMBL215,361,940,1301
565,CHEMBL2154,3,14,17
566,CHEMBL2157,8,19,27
567,CHEMBL2157850,5,13,18
568,CHEMBL2157851,2,12,14
569,CHEMBL216,409,972,1381
570,CHEMBL2163170,4,23,27
571,CHEMBL2163171,6,15,21
572,CHEMBL2163175,41,21,62
573,CHEMBL2167,16,13,29
574,CHEMBL2169722,16,10,26
575,CHEMBL2169726,30,15,45
576,CHEMBL2169736,34,56,90
577,CHEMBL217,1073,4293,5366
578,CHEMBL2171,81,13,94
579,CHEMBL2176846,3,21,24
580,CHEMBL2176851,14,16,30
581,CHEMBL2176859,2,12,14
582,CHEMBL2176864,15,16,31
583,CHEMBL2179,147,135,282
584,CHEMBL218,879,3005,3884
585,CHEMBL2181,151,96,247
586,CHEMBL2182,99,33,132
587,CHEMBL2185,336,923,1259
588,CHEMBL2186,56,72,128
589,CHEMBL2188,1,13,14
590,CHEMBL2189110,26,27,53
591,CHEMBL2189158,2,19,21
592,CHEMBL2189160,1,22,23
593,CHEMBL2189162,0,53,53
594,CHEMBL219,239,1735,1974
595,CHEMBL220,1341,2057,3398
596,CHEMBL2200,18,46,64
597,CHEMBL2203,20,83,103
598,CHEMBL2205,5,21,26
599,CHEMBL2208,420,654,1074
600,CHEMBL221,1490,653,2143
601,CHEMBL2213,2,38,40
602,CHEMBL2219,47,22,69
603,CHEMBL222,360,2370,2730
604,CHEMBL2221347,3,16,19
605,CHEMBL2221348,5,49,54
606,CHEMBL2225,64,21,85
607,CHEMBL2226,16,10,26
608,CHEMBL223,50,939,989
609,CHEMBL2231,0,10,10
610,CHEMBL2238,1,15,16
611,CHEMBL224,328,2452,2780
612,CHEMBL2242731,4,31,35
613,CHEMBL2242743,46,10,56
614,CHEMBL2242744,6,12,18
615,CHEMBL2243,361,919,1280
616,CHEMBL2246,39,22,61
617,CHEMBL225,471,2221,2692
618,CHEMBL2250,56,55,111
619,CHEMBL2252,21,84,105
620,CHEMBL226,628,2957,3585
621,CHEMBL2263,30,11,41
622,CHEMBL2265,184,227,411
623,CHEMBL2268003,0,21,21
624,CHEMBL2268005,21,22,43
625,CHEMBL2269,5,12,17
626,CHEMBL227,94,499,593
627,CHEMBL2273,3,19,22
628,CHEMBL2274,26,174,200
629,CHEMBL2275,17,74,91
630,CHEMBL2276,297,833,1130
631,CHEMBL2278,4,15,19
632,CHEMBL228,598,3534,4132
633,CHEMBL2281,19,11,30
634,CHEMBL2282,12,12,24
635,CHEMBL2283,6,41,47
636,CHEMBL2284,105,10,115
637,CHEMBL2285,87,381,468
638,CHEMBL2285348,10,36,46
639,CHEMBL2286,0,10,10
640,CHEMBL2288,113,62,175
641,CHEMBL2289,78,32,110
642,CHEMBL229,89,1193,1282
643,CHEMBL2291,0,16,16
644,CHEMBL2292,222,269,491
645,CHEMBL230,1084,2088,3172
646,CHEMBL2301,1,13,14
647,CHEMBL2304402,20,68,88
648,CHEMBL2304404,82,159,241
649,CHEMBL2304405,23,30,53
650,CHEMBL2304406,0,12,12
651,CHEMBL2304407,0,17,17
652,CHEMBL2304421,5,16,21
653,CHEMBL2305,7,23,30
654,CHEMBL2308,18,12,30
655,CHEMBL231,231,808,1039
656,CHEMBL2311235,5,19,24
657,CHEMBL2316,0,20,20
658,CHEMBL2318,56,192,248
659,CHEMBL2319,85,55,140
660,CHEMBL232,161,1060,1221
661,CHEMBL2321612,4,16,20
662,CHEMBL2321630,4,25,29
663,CHEMBL2322,27,20,47
